MAZ,geometry,Population,area_acres,TAZ
0,POINT (567554.6219865397 4191406.127222945),2937.0000,1702.4537,1005
1,POINT (566083.9651534512 4189409.9500529612),1018.0000,71.1349,999
2,POINT (565958.1773910264 4189058.4630690566),956.0000,73.7069,999
3,POINT (566105.0300628373 4188770.9642822016),1078.0000,65.6091,998
4,POINT (565580.4804463288 4188072.3134788754),1298.0000,66.5105,998
5,POINT (565133.0141165595 4188372.028854347),1091.0000,72.2020,998
6,POINT (565627.5130963371 4188356.6731844232),1398.0000,68.7493,998
7,POINT (565544.5464822956 4189443.2887417017),1421.0000,65.8921,1000
8,POINT (565190.8004863971 4188858.649028947),1172.0000,61.1609,1000
9,POINT (565211.9238677595 4189445.0168580785),1110.0000,49.6567,1000
10,POINT (564822.2879903928 4189305.6045053513),2008.0000,89.5700,1001
11,POINT (564485.7921701967 4189038.6325134924),822.0000,33.5282,1001
12,POINT (564456.021246791 4189441.012390784),687.0000,22.6674,1001
13,POINT (564283.9855679795 4189573.1349911415),1106.0000,64.0559,1001
14,POINT (564709.2030328454 4188683.024963976),950.0000,41.1362,997
15,POINT (564641.880565504 4188354.807120618),621.0000,32.4143,997
16,POINT (563923.8247143383 4188909.5159597644),1078.0000,57.7957,996
17,POINT (564021.1883747226 4188601.0583837335),1178.0000,64.3204,996
18,POINT (564062.2929162808 4188354.4982589195),724.0000,34.4087,996
19,POINT (564096.6423815561 4188116.3608120824),1226.0000,60.8509,996
20,POINT (562916.0946038531 4189203.952451805),1268.0000,62.7549,993
21,POINT (563120.7747977955 4188891.314092524),1051.0000,52.1194,993
22,POINT (563127.410464761 4188608.0806348356),1275.0000,57.0489,993
23,POINT (563392.975922791 4188376.683901341),1172.0000,54.0868,992
24,POINT (563259.0343680059 4188113.550381029),1130.0000,49.8408,992
25,POINT (564265.7331981312 4187852.3459099224),898.0000,50.5395,977
26,POINT (564137.199413291 4187647.4894288164),824.0000,35.7992,977
27,POINT (564025.6276760343 4187447.2814122373),1260.0000,57.9527,977
28,POINT (564306.8044210313 4187111.1009315224),710.0000,34.9103,977
29,POINT (563985.7410441062 4186833.919632902),1031.0000,53.4577,977
30,POINT (563809.7721806699 4187173.162240797),955.0000,49.9142,977
31,POINT (564976.183798527 4187685.925568305),663.0000,41.6683,976
32,POINT (564896.6514410009 4187129.893224142),1321.0000,45.1861,976
33,POINT (564696.914978318 4186683.634240631),1047.0000,50.9459,976
34,POINT (564665.8325517284 4187489.692118843),1125.0000,80.2393,976
35,POINT (565391.7345074114 4187630.458976641),1064.0000,81.3267,975
36,POINT (565311.2711916107 4187182.0803296706),780.0000,35.7799,975
37,POINT (565142.5287885786 4186743.662146086),572.0000,46.7648,975
38,POINT (564655.3089962404 4186195.8239925834),1031.0000,109.9022,979
39,POINT (564262.1783439157 4185560.3230046844),1458.0000,49.2729,979
40,POINT (564563.6812458307 4185553.880695791),1039.0000,52.8072,979
41,POINT (563979.0008700098 4186548.00935446),1095.0000,58.7324,978
42,POINT (563899.9177724519 4186260.4511321066),1694.0000,67.5744,978
43,POINT (563977.6985351471 4185725.1511179185),1525.0000,60.9187,978
44,POINT (563344.2482725405 4186668.689243634),1301.0000,40.3750,990
45,POINT (563306.5607358548 4186387.0483677066),619.0000,33.2110,990
46,POINT (563280.8978031516 4186186.1665948182),710.0000,41.9143,990
47,POINT (563223.3014428715 4185912.627774637),1205.0000,92.4141,989
48,POINT (563264.9776573112 4185628.0142295),958.0000,64.6516,989
49,POINT (562624.0819975531 4186571.068869974),1058.0000,214.3122,988
50,POINT (561827.2910714903 4185380.3809190155),1513.0000,174.8975,988
51,POINT (560065.7415485281 4186160.382206962),96.0000,2467.8848,988
52,POINT (561870.593587665 4185065.2589648124),912.0000,38.5208,987
53,POINT (561665.1026012371 4184749.6799892597),791.0000,35.2205,987
54,POINT (562222.7199922284 4185083.882698557),877.0000,42.4058,986
55,POINT (562062.2163992119 4184625.3460066374),842.0000,27.8132,986
56,POINT (561802.3456506775 4184337.320463985),666.0000,105.6148,965
57,POINT (559892.1775107489 4184171.032064545),38.0000,1274.5247,965
58,POINT (563142.3465165165 4185278.2459159354),1368.0000,60.9888,983
59,POINT (563205.5547548024 4184993.974551871),983.0000,22.2461,983
60,POINT (562988.9185396935 4184604.5865481226),1055.0000,65.0861,982
61,POINT (562885.4590863624 4184235.3730957326),729.0000,25.1561,982
62,POINT (563386.0876839347 4184342.8848014767),1151.0000,78.7330,981
63,POINT (563762.5587229203 4184976.934093949),535.0000,51.2794,980
64,POINT (563510.5557684263 4185074.3275761846),1034.0000,47.2018,980
65,POINT (563915.4878345464 4184698.753326765),1428.0000,22.3456,970
66,POINT (564188.6051549638 4184884.30894735),1917.0000,76.0103,970
67,POINT (564542.9848342942 4184673.8766898285),1434.0000,96.7480,971
