DMAZ,OMAZ,DISTBIKE
425,0,0.940
422,0,0.916
0,0,0.124
390,0,0.841
4,1,0.888
106,1,0.546
107,1,0.681
5,1,0.875
3,1,0.397
6,1,0.713
8,1,0.652
14,1,0.966
2,1,0.232
105,1,0.769
1,1,0.124
10,1,0.787
7,1,0.336
9,1,0.542
428,1,0.892
426,1,0.378
429,1,0.475
430,1,0.666
423,1,0.677
425,1,0.690
418,1,0.796
427,1,0.381
417,1,0.863
424,1,0.979
422,1,0.960
4,2,0.656
35,2,0.955
106,2,0.518
107,2,0.561
5,2,0.667
3,2,0.201
6,2,0.482
8,2,0.493
15,2,0.927
14,2,0.810
11,2,0.915
2,2,0.124
105,2,0.840
1,2,0.232
10,2,0.722
12,2,0.963
7,2,0.351
9,2,0.522
428,2,0.917
426,2,0.606
429,2,0.621
430,2,0.743
423,2,0.898
425,2,0.883
418,2,0.910
427,2,0.592
98,3,0.956
99,3,0.986
31,3,0.973
4,3,0.543
35,3,0.836
104,3,0.885
106,3,0.415
107,3,0.382
5,3,0.653
3,3,0.124
6,3,0.393
8,3,0.571
15,3,0.945
14,3,0.869
2,3,0.201
105,3,0.789
1,3,0.397
10,3,0.864
7,3,0.544
9,3,0.695
426,3,0.740
429,3,0.822
430,3,0.938
425,3,0.951
427,3,0.776
28,4,0.992
32,4,0.724
97,4,0.921
98,4,0.656
99,4,0.543
100,4,0.873
36,4,0.578
37,4,0.869
101,4,0.767
34,4,0.674
31,4,0.446
26,4,0.935
25,4,0.828
4,4,0.124
35,4,0.299
104,4,0.973
106,4,0.884
107,4,0.702
5,4,0.335
3,4,0.543
6,4,0.179
8,4,0.545
19,4,0.922
15,4,0.609
18,4,0.960
14,4,0.661
11,4,0.907
2,4,0.656
1,4,0.888
10,4,0.900
7,4,0.852
9,4,0.883
27,5,0.896
28,5,0.937
32,5,0.786
98,5,0.979
99,5,0.818
36,5,0.748
34,5,0.620
31,5,0.437
26,5,0.765
25,5,0.628
4,5,0.335
35,5,0.488
107,5,0.938
5,5,0.124
3,5,0.653
16,5,0.822
17,5,0.705
6,5,0.307
8,5,0.304
19,5,0.663
15,5,0.305
18,5,0.665
14,5,0.327
11,5,0.577
434,5,0.944
2,5,0.667
1,5,0.875
10,5,0.611
12,5,0.786
7,5,0.713
9,5,0.669
13,5,0.914
428,5,0.963
430,5,0.977
32,6,0.887
98,6,0.789
99,6,0.712
36,6,0.756
101,6,0.940
34,6,0.805
31,6,0.581
25,6,0.902
4,6,0.179
35,6,0.474
106,6,0.773
107,6,0.633
5,6,0.307
3,6,0.393
6,6,0.124
8,6,0.413
19,6,0.963
15,6,0.612
18,6,0.973
14,6,0.606
11,6,0.826
2,6,0.482
1,6,0.713
10,6,0.773
12,6,0.992
7,6,0.677
9,6,0.724
4,7,0.852
106,7,0.842
107,7,0.912
5,7,0.713
3,7,0.544
6,7,0.677
8,7,0.425
15,7,0.879
14,7,0.702
11,7,0.704
2,7,0.351
1,7,0.336
10,7,0.457
12,7,0.676
7,7,0.124
9,7,0.207
13,7,0.787
428,7,0.574
426,7,0.617
429,7,0.336
430,7,0.394
415,7,0.931
423,7,0.732
425,7,0.985
418,7,0.573
427,7,0.436
416,7,0.815
417,7,0.699
424,7,0.943
420,7,0.992
421,7,0.869
34,8,0.911
31,8,0.741
25,8,0.849
4,8,0.545
35,8,0.773
106,8,0.979
107,8,0.933
5,8,0.304
3,8,0.571
16,8,0.788
17,8,0.744
6,8,0.413
8,8,0.124
19,8,0.822
15,8,0.463
18,8,0.768
14,8,0.319
11,8,0.452
434,8,0.858
2,8,0.493
1,8,0.652
433,8,0.946
10,8,0.360
12,8,0.583
7,8,0.425
9,8,0.365
13,8,0.717
432,8,0.943
428,8,0.690
429,8,0.739
430,8,0.675
418,8,0.876
427,8,0.860
416,8,0.918
4,9,0.883
5,9,0.669
